ID;Concierto;Recinto;Productora/organizadora;Tiquetera ;Fecha;Numero_asistentes;Tipo_ artista;Artista;Rango_precios;Opcion_descuento_entradas;Preventa;Cancelado;Cambio_recinto;Genero_musical
107;Miranda!;Movistar Arena;Lotus;PuntoTicket;27-09-2024;15.000;Internacional;Miranda!;19.000 - 69.000;Descuento Banco de Chile  - 20%;1;0;0;Pop
108;Miranda!;Movistar Arena;Lotus;PuntoTicket;28-09-2024;15.000;Internacional;Miranda!;19.000 - 69.000;Descuento Banco de Chile  - 20%;1;0;0;Pop
109;Juanes Latam Tour 2024;Movistar Arena;Lotus;PuntoTicket;29-09-2024;Sin datos;Internacional;Juanes;23.800 - 126.500;Descuento Banco de Chile  - 20%;1;0;0;Rock
110;Garcia Tour 2024;Movistar Arena;Bizarro Live Entertainment;PuntoTicket;30-09-2024;Sin datos;Internacional;Kany Garcia;11.500 - 103.500;No;0;0;0;Pop
111;Paraiso Pop;Movistar Arena;SA Producciones;PuntoTicket;03-10-2024;Sin datos;Nacional;Alex Anwandter;28.750 - 40.250;No;0;0;0;Pop
111;Paraiso Pop;Movistar Arena;SA Producciones;PuntoTicket;03-10-2024;Sin datos;Nacional;Bandalos Chinos;28.750 - 40.250;No;0;0;0;Pop
111;Paraiso Pop;Movistar Arena;SA Producciones;PuntoTicket;03-10-2024;Sin datos;Nacional;Fother Muckers;28.750 - 40.250;No;0;0;0;Pop
112;The Show Live On Tour;Movistar Arena;DG Medios;PuntoTicket;04-10-2024;Sin datos;Internacional;Niall Horan;52.425 - 93.200;Descuento Entel - 20% Descuento Scotiabank-  20%;1;0;0;Pop
113;Las Letras Ya No Importan;Movistar Arena;Bizarro Live Entertainment;PuntoTicket;05-10-2024;Sin datos;Internacional;Residente;51.750 - 97.750;No;0;0;0;Rap
114;A Night With Matteo;Movistar Arena;Bizarro Live Entertainment;PuntoTicket;06-10-2024;Sin datos;Internacional;Matteo Bocelli;11.500 - 172.500;No;0;0;0;Clásica
115;HOLO;Movistar Arena;Street Machine;PuntoTicket;10-10-2024;Sin datos;Internacional;Eric Prydz ;28.000 - 105.000;No;1;0;0;Electronica
116;#Tour24;Movistar Arena;Bizarro Live Entertainment;PuntoTicket;11-10-2024;Sin datos;Internacional;Maria Becerra;10.450 - 172.500;Descuento Banco de Chile  - 20%;1;0;0;Pop
117;Grasa Tour;Movistar Arena;Lotus;PuntoTicket;06-11-2024;No aplica;Internacional;Nathy Peluso;34.500 - 92.000;No;1;1;0;Hip hop
118;RHLM 2;Movistar Arena;Iguana Producciones;PuntoTicket;06-11-2024;Sin datos;Internacional;Anuel AA;20.700 - 85.100;No;0;0;0;Reggaeton 
119;Luis Fonsi: Tour 25 años;Movistar Arena;Swing Management;PuntoTicket;07-11-2024;Sin datos;Internacional;Luis Fonsi;23.000 - 195.500;No;0;0;0;Balada
120;RHLM 2;Movistar Arena;Iguana Producciones;PuntoTicket;12-11-2024;Sin datos;Internacional;Anuel AA;20.700 - 85.100;No;0;0;0;Reggaeton 
121;RHLM 2;Movistar Arena;Iguana Producciones;PuntoTicket;14-11-2024;Sin datos;Internacional;Anuel AA;20.700 - 85.100;No;0;0;0;Reggaeton 
122;RHLM 2;Movistar Arena;Iguana Producciones;PuntoTicket;15-11-2024;Sin datos;Internacional;Anuel AA;20.700 - 85.100;No;0;0;0;Reggaeton 
123;La Combo Tortuga 13th;Movistar Arena;FC Producciones;PuntoTicket;08-11-2024;Sin datos;Nacional;La Combo Tortuga;13.800 - 23.000;No;0;0;0;Cumbia 
124;TWO´R AMIGOS;Movistar Arena;Swing Management;PuntoTicket;09-11-2024;Sin datos;Internacional;Emmanuel;41.400 - 161.000;Descuento Hites 20% - Descuento Radio Pudahuel 20% - Promocion 2x60.000;0;0;0;Balada
124;TWO´R AMIGOS;Movistar Arena;Swing Management;PuntoTicket;09-11-2024;Sin datos;Internacional;Manuel Mijares;41.400 - 161.000;Descuento Hites 20% - Descuento Radio Pudahuel 20% - Promocion 2x60.000;0;0;0;Balada
125;What Happened To Earth? Part 3;Movistar Arena;Lotus;PuntoTicket;10-11-2024;Sin datos;Internacional;Aurora;34.500 - 74.800;No;1;0;0;Pop
126;Raze The Bar Tour;Movistar Arena;Patagonia Live;PuntoTicket;11-11-2024;Sin datos;Internacional;Travis;40.850 - 99.100;Promocion 2x1;0;0;0;Rock
